@x1,x2,x3,x4,x5,x6,x7,x8,y,zb,wt
2.7863,3.3417,1.2475,3.8995,5.8818,1.0806,1.6561,1.223,0,1,0
2.5926,3.3058,1.247,4.8026,7.1396,2.1704,2.0604,1.3233,0,1,0
3.2456,2.7834,0.84622,5.991,4.758,0.78731,1.6413,1.1327,0,1,0
2.815,3.2715,0.81539,6.1274,6.2129,1.3515,2.2839,1.3159,0,1,0
2.8661,2.7654,1.1327,4.8899,5.1576,0.7623,1.834,1.8164,0,1,0
1.9438,3.2707,0.88683,4.7743,5.8962,1.8735,2.8753,2.0282,0,1,0
2.1132,3.7155,1.2379,5.9824,8.2955,2.2767,2.5581,1.6144,0,1,0
3.1481,2.6923,1.1435,5.7797,6.2582,0.97314,1.6697,1.4784,0,1,0
2.2058,3.297,1.0452,5.3128,10.063,5.2293,3.0014,1.1492,0,1,0
1.8169,2.8747,0.98501,5.7462,4.7003,0.79462,2.1926,1.3587,0,1,0
2.3416,3.264,1.1641,5.6064,7.5536,1.8668,1.3917,1.7442,0,1,0
2.4083,3.0473,1.1481,3.6557,5.2734,1.117,2.1433,1.138,0,1,0
3.1874,4.1052,1.6293,10.912,15.925,5.9962,4.3835,2.6061,0,1,0
2.5258,4.0044,1.026,5.6336,10.356,3.3249,2.7756,1.7265,0,1,0
1.9957,3.6589,1.4524,11.08,10.248,4.3603,3.4998,1.4495,0,1,0
2.494,3.0091,1.2103,5.0761,6.5084,1.8917,2.2298,1.5193,0,1,0
2.7952,3.4648,2.146,6.4643,10.584,1.7972,2.5801,1.8342,0,1,0
2.4622,2.459,1.4277,12.677,7.8976,2.8739,1.8562,2.358,0,1,0
2.5727,3.2858,1.1014,6.2898,8.5455,2.8452,2.9328,1.6815,0,1,0
2.1711,3.4437,1.4659,6.8009,6.7328,1.3301,2.6406,1.7569,0,1,0
1.9864,3.8536,2.1205,5.3387,7.431,1.636,4.3555,1.6914,0,1,0
4.4193,3.6648,1.5267,6.7232,7.5282,1.1296,3.3063,1.7384,0,1,0
3.318,4.8411,2.2539,8.2989,7.5102,1.1919,3.0995,2.5852,0,1,0
2.8961,4.7579,1.5882,5.5113,13.132,2.786,3.484,2.2136,0,1,0
3.6687,3.5958,1.596,7.1247,6.4042,0.74117,2.1375,1.8616,0,1,0
2.5548,5.0743,2.0628,4.4399,8.9498,1.9756,3.4964,2.2444,0,1,0
2.9528,4.337,2.8692,6.1194,6.5769,0.74864,2.5457,2.1784,0,1,0
3.1165,2.7685,2.4948,6.4275,6.0675,2.3595,1.847,1.8223,0,1,0
2.0049,2.2459,1.5747,4.2637,6.6088,2.1475,2.076,1.6373,0,1,0
2.4509,3.4714,1.6537,7.1114,11.899,4.4877,2.6792,1.7534,0,1,0
3.0801,3.0668,2.0108,8.7345,11.165,5.4099,3.2,2.0336,0,1,0
2.0495,3.4328,1.1634,5.8766,10.412,4.5006,4.7008,2.2695,0,1,0
3.8071,2.5497,1.3995,6.8111,7.8831,2.5604,2.0059,2.1919,0,1,0
2.6531,2.6568,1.5946,5.5545,8.151,2.7359,2.3784,1.415,0,1,0
2.8797,3.2997,1.1753,7.883,8.3004,2.4728,2.3313,1.5913,0,1,0
2.5043,3.2641,2.2807,6.0961,8.2347,2.3538,2.8619,2.406,0,1,0
2.6425,3.0957,1.286,8.4929,9.7964,1.7522,2.0132,2.3165,0,1,0
2.3933,4.1616,2.5903,6.9845,9.1654,2.335,2.7899,1.7427,0,1,0
6.0035,6.009,3.7328,8.9659,8.6762,1.1727,4.6156,2.9136,0,1,0
4.5252,8.5929,4.0756,6.6868,9.2432,1.5034,6.9177,4.6633,0,1,0
6.4206,4.325,3.58,7.1208,11.174,2.8319,6.4459,4.1545,0,1,0
5.2688,6.4891,3.0814,10.239,8.9906,1.0654,4.8766,2.8039,0,1,0
4.5765,5.2796,3.4421,11.863,9.8138,2.0113,2.4024,4.1942,0,1,0
2.7976,3.5629,2.5815,4.5744,4.8922,0.85327,3.3777,2.8776,0,1,0
6.9195,3.8349,4.111,15.104,9.8297,2.4294,2.9423,4.0887,0,1,0
5.588,4.5423,3.7566,10.551,9.1037,1.954,4.0356,3.9459,0,1,0
3.2584,5.1482,2.7491,10.082,10.033,2.4003,4.0379,2.032,0,1,0
5.6916,7.152,4.5377,13.002,22.432,6.7895,5.4631,3.7922,0,1,0
3.4268,2.911,3.2008,6.4774,6.9904,1.6762,2.8195,2.7458,0,1,0
1.5772,2.8181,1.674,5.057,8.6877,1.1925,3.0957,1.2156,0,1,0
3.2696,5.8004,3.4686,6.5648,9.0239,1.8105,4.1643,3.6513,0,1,0
3.6205,3.6583,2.4356,4.1935,9.1453,1.7642,5.5357,2.8584,0,1,0
5.423,4.6204,2.1918,8.9043,7.1336,0.88803,2.738,2.7923,0,1,0
5.8759,3.2147,2.5923,4.931,5.0271,1.4565,1.9535,3.777,0,1,0
4.1576,2.3099,2.0016,6.0851,8.0069,3.3975,2.3084,2.2918,0,1,0
2.9428,2.8974,2.3076,5.408,7.1931,2.8326,2.8599,2.1461,0,1,0
3.691,2.7065,1.6696,6.4008,4.7888,0.74413,2.0359,1.8063,0,1,0
3.1011,3.7402,2.4362,5.3609,10.15,3.6829,4.0859,1.7326,0,1,0
2.7867,2.2069,2.4246,5.7141,7.9303,1.6895,2.7819,2.6536,0,1,0
